"Time [s]","Total number of threads","Runnable threads","Blocked threads","Threads in Net I/O","Waiting threads"
225.24,1,1,0,0,0
226.24,1,1,0,0,0
227.24,1,1,0,0,0
228.24,1,1,0,0,0
229.24,1,1,0,0,0
230.24,1,1,0,0,0
231.24,1,1,0,0,0
232.25,1,1,0,0,0
233.25,1,1,0,0,0
234.25,1,1,0,0,0
235.25,1,1,0,0,0
236.25,1,1,0,0,0
237.25,1,1,0,0,0
238.25,1,1,0,0,0
239.25,1,1,0,0,0
240.25,1,1,0,0,0
241.26,1,1,0,0,0
242.26,1,1,0,0,0
243.26,1,1,0,0,0
244.26,1,1,0,0,0
245.26,1,1,0,0,0
246.26,1,1,0,0,0
247.26,1,1,0,0,0
248.26,1,1,0,0,0
249.27,1,1,0,0,0
250.27,1,1,0,0,0
251.27,1,1,0,0,0
252.27,1,1,0,0,0
253.27,1,1,0,0,0
254.28,1,1,0,0,0
255.28,1,1,0,0,0
256.29,1,1,0,0,0
257.29,1,1,0,0,0
258.29,1,1,0,0,0
259.29,1,1,0,0,0
260.29,1,1,0,0,0
261.29,1,1,0,0,0
262.29,1,1,0,0,0
263.29,1,1,0,0,0
264.3,1,1,0,0,0
265.3,1,1,0,0,0
266.3,1,1,0,0,0
267.3,1,1,0,0,0
268.3,1,1,0,0,0
269.3,1,1,0,0,0
270.3,1,1,0,0,0
271.3,1,1,0,0,0
272.31,1,1,0,0,0
273.31,1,1,0,0,0
274.31,1,1,0,0,0
275.31,1,1,0,0,0
276.31,1,1,0,0,0
277.31,1,1,0,0,0
278.31,1,1,0,0,0
279.32,1,1,0,0,0
280.32,1,1,0,0,0
281.32,1,1,0,0,0
282.32,1,1,0,0,0
283.32,1,1,0,0,0
284.32,1,1,0,0,0
285.32,1,1,0,0,0
286.33,1,1,0,0,0
287.33,1,1,0,0,0
288.33,1,1,0,0,0
289.33,1,1,0,0,0
290.33,1,1,0,0,0
291.33,1,1,0,0,0
292.33,1,1,0,0,0
293.33,1,1,0,0,0
294.33,1,1,0,0,0
295.33,1,1,0,0,0
296.34,1,1,0,0,0
297.34,1,1,0,0,0
298.34,1,1,0,0,0
299.34,1,1,0,0,0
300.34,1,1,0,0,0
301.34,1,1,0,0,0
302.34,1,1,0,0,0
303.34,1,1,0,0,0
304.34,1,1,0,0,0
305.34,1,1,0,0,0
306.34,1,1,0,0,0
307.35,1,1,0,0,0
308.35,1,1,0,0,0
309.35,1,1,0,0,0
310.35,1,1,0,0,0
311.35,1,1,0,0,0
312.35,1,1,0,0,0
313.35,1,1,0,0,0
314.35,1,1,0,0,0
315.35,1,1,0,0,0
316.35,1,1,0,0,0
317.35,1,1,0,0,0
318.36,1,1,0,0,0
319.36,1,1,0,0,0
320.36,1,1,0,0,0
321.36,1,1,0,0,0
322.36,1,1,0,0,0
323.36,1,1,0,0,0
324.36,1,1,0,0,0
325.36,1,1,0,0,0
326.36,1,1,0,0,0
327.36,1,1,0,0,0
328.36,1,1,0,0,0
329.37,1,1,0,0,0
330.37,1,1,0,0,0
331.37,1,1,0,0,0
332.37,1,1,0,0,0
333.37,1,1,0,0,0
334.37,1,1,0,0,0
335.37,1,1,0,0,0
336.38,1,1,0,0,0
337.38,1,1,0,0,0
338.38,1,1,0,0,0
339.38,1,1,0,0,0
340.38,1,1,0,0,0
341.38,1,1,0,0,0
342.38,1,1,0,0,0
343.38,1,1,0,0,0
344.38,1,1,0,0,0
345.38,1,1,0,0,0
346.38,1,1,0,0,0
347.38,1,1,0,0,0
348.38,1,1,0,0,0
349.39,1,1,0,0,0
350.39,1,1,0,0,0
351.39,1,1,0,0,0
352.39,1,1,0,0,0
353.39,1,1,0,0,0
354.39,1,1,0,0,0
355.39,1,1,0,0,0
356.39,1,1,0,0,0
357.39,1,1,0,0,0
358.4,1,1,0,0,0
359.4,1,1,0,0,0
360.4,1,1,0,0,0
361.4,1,1,0,0,0
362.4,1,1,0,0,0
363.4,1,1,0,0,0
364.4,1,1,0,0,0
365.4,1,1,0,0,0
366.41,1,1,0,0,0
367.41,1,1,0,0,0
368.41,1,1,0,0,0
369.41,1,1,0,0,0
370.41,1,1,0,0,0
371.41,1,1,0,0,0
372.41,1,1,0,0,0
373.42,1,1,0,0,0
374.42,1,1,0,0,0
375.42,1,1,0,0,0
376.42,1,1,0,0,0
377.42,1,1,0,0,0
378.42,1,1,0,0,0
379.42,1,1,0,0,0
380.42,1,1,0,0,0
381.42,1,1,0,0,0
382.42,1,1,0,0,0
383.42,1,1,0,0,0
384.43,1,1,0,0,0
385.43,1,1,0,0,0
386.43,1,1,0,0,0
387.43,1,1,0,0,0
388.43,1,1,0,0,0
389.43,1,1,0,0,0
390.43,1,1,0,0,0
391.44,1,1,0,0,0
392.44,1,1,0,0,0
393.44,1,1,0,0,0
394.44,1,1,0,0,0
395.44,1,1,0,0,0
396.44,1,1,0,0,0
397.44,1,1,0,0,0
398.44,1,1,0,0,0
399.44,1,1,0,0,0
400.44,1,1,0,0,0
401.45,1,1,0,0,0
402.45,1,1,0,0,0
403.45,1,1,0,0,0
404.45,1,1,0,0,0
405.45,1,1,0,0,0
406.45,1,1,0,0,0
407.45,1,1,0,0,0
408.45,1,1,0,0,0
409.45,1,1,0,0,0
410.46,1,1,0,0,0
411.46,1,1,0,0,0
412.46,1,1,0,0,0
413.46,1,1,0,0,0
414.46,1,1,0,0,0
415.46,1,1,0,0,0
416.46,1,1,0,0,0
417.46,1,1,0,0,0
418.46,1,1,0,0,0
419.46,1,1,0,0,0
420.46,1,1,0,0,0
421.46,1,1,0,0,0
422.47,1,1,0,0,0
423.47,1,1,0,0,0
424.47,1,1,0,0,0
425.47,1,1,0,0,0
426.47,1,1,0,0,0
427.47,1,1,0,0,0
428.47,1,1,0,0,0
429.47,1,1,0,0,0
430.48,1,1,0,0,0
431.48,1,1,0,0,0
432.48,1,1,0,0,0
433.48,1,1,0,0,0
434.48,1,1,0,0,0
435.48,1,1,0,0,0
436.48,1,1,0,0,0
437.48,1,1,0,0,0
438.48,1,1,0,0,0
439.49,1,1,0,0,0
440.49,1,1,0,0,0
441.49,1,1,0,0,0
442.49,1,1,0,0,0
443.49,1,1,0,0,0
444.49,1,1,0,0,0
445.49,1,1,0,0,0
446.5,1,1,0,0,0
447.5,1,1,0,0,0
448.5,1,1,0,0,0
449.5,1,1,0,0,0
450.5,1,1,0,0,0
451.5,1,1,0,0,0
452.5,1,1,0,0,0
453.5,1,1,0,0,0
454.5,1,1,0,0,0
455.5,1,1,0,0,0
456.51,1,1,0,0,0
457.51,1,1,0,0,0
458.51,1,1,0,0,0
459.51,1,1,0,0,0
460.51,1,1,0,0,0
461.51,1,1,0,0,0
462.51,1,1,0,0,0
463.51,1,1,0,0,0
464.51,1,1,0,0,0
465.52,1,1,0,0,0
466.52,1,1,0,0,0
467.52,1,1,0,0,0
468.52,1,1,0,0,0
469.52,1,1,0,0,0
470.52,1,1,0,0,0
471.52,1,1,0,0,0
472.52,1,1,0,0,0
473.52,1,1,0,0,0
474.52,1,1,0,0,0
475.53,1,1,0,0,0
476.53,1,1,0,0,0
477.53,1,1,0,0,0
478.53,1,1,0,0,0
479.53,1,1,0,0,0
480.53,1,1,0,0,0
481.53,1,1,0,0,0
482.53,1,1,0,0,0
483.53,1,1,0,0,0
484.54,1,1,0,0,0
485.54,1,1,0,0,0
486.54,1,1,0,0,0
487.54,1,1,0,0,0
488.54,1,1,0,0,0
489.54,1,1,0,0,0
490.54,1,1,0,0,0
491.54,1,1,0,0,0
492.55,1,1,0,0,0
493.55,1,1,0,0,0
494.55,1,1,0,0,0
495.55,1,1,0,0,0
496.55,1,1,0,0,0
497.55,1,1,0,0,0
498.55,1,1,0,0,0
499.55,1,1,0,0,0
500.55,1,1,0,0,0
501.55,1,1,0,0,0
502.55,1,1,0,0,0
503.55,1,1,0,0,0
504.55,1,1,0,0,0
