"Time [s]","Process load","System load"
289.96,0,8.2
290.97,1.56,6.59
291.97,0.37,8.2
292.97,0.77,1.54
293.97,0.4,9.37
294.97,0.39,3.52
295.97,0,0
296.98,0.37,5.04
297.98,0,4.29
298.98,0.79,3.1
299.99,0,1.95
300.99,0.77,3.5
301.99,0,2.35
303.0,0.77,5.82
304.0,0,3.52
305.02,0.76,3.44
306.02,0,3.11
307.02,0.4,1.17
308.02,0,5.84
309.03,0.76,6.18
310.03,0,3.52
311.04,1.16,8.93
312.04,0,2.34
313.05,0.77,5.84
314.05,0,5.83
315.05,0.4,8.2
316.05,0,3.89
317.06,0.39,4.67
318.06,0.37,5.85
319.07,0.76,10.44
320.07,0,4.3
321.07,0.79,5.04
322.07,0,5.07
323.07,1.17,5.46
324.08,0,5.07
325.08,0.77,4.28
326.08,0,4.3
327.09,0.76,3.45
328.09,0,7.42
329.1,0.77,4.69
330.1,0,2.35
331.1,0.79,6.23
332.1,0,3.89
333.11,0.76,2.33
334.11,0,6.61
335.12,0.76,6.59
336.12,0,1.17
337.13,0.76,2.3
338.13,0,8.22
339.13,1.17,9.34
340.13,0,4.27
341.13,0.77,3.92
342.13,0,7.42
343.13,0.4,4.67
344.13,0,2.72
345.15,0.76,8.88
346.15,0,4.67
347.15,0.79,8.19
348.15,0,3.52
349.15,0.77,8.59
350.15,0,5.07
351.16,0.77,4.65
352.16,0.39,6.63
353.16,0.77,3.52
354.16,0,4.67
355.17,1.17,6.63
356.17,0,7.42
357.17,0.37,6.25
358.17,0,7.8
359.18,0.79,4.65
360.18,0,1.17
361.19,0.37,10.41
362.19,0,19.15
363.21,1.54,70.39
364.21,0.37,82.65
365.22,0.4,42.57
366.22,0,42.57
367.23,0.76,34.99
368.23,0,25.34
369.24,0.79,13.64
370.24,0,19.5
371.24,0.77,21.1
372.24,0,29.7
373.24,0.37,18.75
374.24,0,20.7
375.25,0.39,23.56
376.25,0,21.1
377.28,1.14,16.4
378.28,0,14.05
379.28,0.39,17.55
380.28,0,22.65
381.28,0.37,16.4
382.28,0,17.15
383.28,0.39,12.48
384.28,0,14.07
385.28,0.37,17.95
386.28,0,12.5
387.31,1.14,14.9
388.31,0,23.4
389.31,0.4,2.75
390.31,0,14.82
391.32,0.77,60.98
392.32,0,7.02
393.33,0.76,13.1
394.33,0,1.95
395.33,0.4,2.35
396.33,0,5.47
397.34,0.39,7.76
398.34,0,27.35
399.35,1.15,8.44
400.36,0,3.89
401.37,1.13,47.17
402.37,0,14.45
403.37,1.17,4.7
404.37,0,2.72
405.37,1.17,53.84
406.37,0,40.25
407.37,0.77,60.92
408.37,0,45.32
409.37,0.4,34.37
410.38,0,31.56
411.38,0.77,33.22
412.38,0,36.66
413.38,0.79,44.28
414.39,0,41.73
415.41,0.75,27.93
416.41,0,8.59
417.41,0.77,22.25
418.41,0,4.69
419.41,0.39,1.17
420.41,0,0.37
421.42,0.76,8.92
422.42,0,1.55
423.42,0.77,5.47
424.43,0,1.57
425.44,1.15,7.3
426.44,0,3.52
427.45,1.16,8.54
428.45,0,3.9
429.45,1.17,7.42
430.45,0,5.46
431.46,0.77,6.99
432.46,0,9.76
433.46,0.77,8.2
434.46,0,1.95
435.47,0.79,4.61
436.47,0,5.06
437.48,0.37,3.12
438.48,0,4.7
439.49,0.76,6.17
440.49,0,3.52
441.49,0.4,0.4
442.49,0,0.4
443.49,0.4,4.67
444.49,0,5.87
445.52,0.75,8.7
446.52,0,6.25
447.53,0.76,1.16
448.53,0.4,6.25
449.54,0.37,5.82
450.54,0,4.69
451.54,0.39,7.79
452.54,0,5.86
453.56,0.76,6.53
454.56,0,8.6
455.56,0.79,11.68
456.56,0,5.85
457.57,1.13,14.65
458.57,0,4.3
459.59,0.79,7.35
460.59,0,8.57
461.59,0.77,1.17
462.59,0.39,2.34
463.59,0.37,3.9
464.59,0,5.07
465.61,0.75,3.84
466.61,0,9.75
467.62,0.78,13.49
468.63,0,3.89
469.63,0.77,10.52
470.63,0,5.07
471.63,0.77,8.22
472.63,0,3.49
473.64,0.76,6.2
474.64,0,4.29
475.65,0.79,10.48
476.65,0,15.19
477.65,0.77,15.23
478.65,0.39,25.34
479.67,0.76,46.39
480.67,0,58.54
481.68,0.77,24.5
482.68,0,10.13
483.68,0.77,9.77
484.68,0,10.55
485.68,0.4,14.05
486.68,0,10.95
487.69,0.76,15.79
488.69,0,13.28
489.7,0.77,12.84
490.7,0,29.7
491.72,1.15,8.04
492.72,0.4,8.97
493.72,0.4,6.65
494.72,0,3.52
495.72,0.77,3.49
496.72,0.37,3.12
497.73,0.79,8.51
498.73,0,22.25
499.75,0.75,8.78
500.75,0,23.82
501.77,0.76,91.19
502.77,0,62.37
503.77,0.4,66
504.77,0,46.87
505.79,0.76,24.58
506.79,0,10.15
507.79,0.4,10.17
508.79,0,10.15
509.8,0.37,25.51
510.8,0,9.76
511.82,1.14,8.41
512.82,0.4,19.52
513.83,0.37,8.58
514.83,0,2.32
515.84,0.78,2.3
516.85,0,0.77
517.85,0.37,19.11
518.85,0,57.31
519.85,0.4,45.3
520.85,0,25.4
521.87,0.76,5.77
522.87,0.4,5.47
523.87,0.37,7.82
524.87,0,8.2
525.89,1.15,29.09
526.89,0,15.62
527.9,1.15,78.52
528.91,0,74.12
529.91,1.16,45.77
530.91,0,12.48
531.91,0.4,6.25
532.92,0,3.9
533.92,0.77,10.15
534.92,0,8.96
535.92,0.77,7.02
536.92,0,11.7
537.92,1.17,9.76
538.92,0,2.72
539.94,0.76,3.85
540.94,0,3.92
541.94,0.8,6.62
542.94,0,9
543.96,0.75,10.31
544.96,0,3.12
545.97,0.76,4.25
546.97,0,6.65
547.98,0.77,8.15
548.98,0,1.17
549.99,0.79,1.53
550.99,0,1.17
551.99,0.37,0.8
552.99,0,1.14
553.99,0.4,10.55
554.99,0,6.65
556.01,0.75,25.66
557.01,0,60.15
558.02,0.4,85.55
559.02,0,46.87
560.02,0.76,15.91
561.02,0,8.2
562.04,0.76,6.16
563.04,0,4.3
564.04,0.39,7.01
565.04,0,4.67
566.04,0.37,4.7
567.04,0,7.02
568.06,0.78,14.61
569.06,0.37,8.97
570.07,0.79,3.49
571.07,0,4.67
572.07,0.37,1.57
573.07,0.39,10.91
574.09,0.75,11.1
575.09,0,5.1
576.09,0.77,3.12
577.09,0,10.15
578.1,0.39,4.64
579.1,0,6.64
580.11,3.09,8.87
581.11,0,4.29
582.11,0.77,9.37
583.12,0,3.89
584.13,0.39,8.48
585.13,0,1.57
586.13,0.77,8.53
587.14,0,9.36
588.15,0.76,12.77
589.15,0,10.93
590.15,0.39,1.94
591.15,0.4,1.17
592.17,0.36,1.52
593.17,0,1.57
594.17,0.77,1.55
595.17,0,1.57
596.17,0.8,2.72
597.17,0,10.52
598.18,1.53,5.02
599.18,0,7.01
600.19,0.39,3.1
601.19,0,2.34
602.2,0.76,7.71
603.2,0.39,5.86
604.21,0.37,0.77
605.21,0,1.95
606.22,0.78,5
607.22,0,2.75
608.23,1.14,6.59
609.23,0,5.06
610.23,0.79,5.45
611.23,0,3.12
612.25,1.53,7.72
613.25,0,4.29
614.25,1.17,15.96
615.25,0,6.25
616.26,0.76,6.58
617.26,0,4.29
618.27,0.79,4.64
619.27,0,1.17
620.27,0.77,1.95
621.27,0,4.29
622.28,0.37,6.63
623.28,0,5.43
624.29,0.79,6.19
625.29,0,2.74
626.29,0.77,3.49
627.29,0,5.46
628.3,0.39,6.24
629.3,0,4.7
630.31,1.13,5.77
631.31,0,5.46
632.31,0.8,2.72
633.31,0,5.87
634.31,0.37,0.77
635.31,0,0.77
636.31,1.17,1.57
637.31,0,7.8
638.33,0.76,5.75
639.33,0,0.8
640.34,0.39,8.54
641.34,0.77,5.46
642.35,0.79,6.6
643.35,0,8.19
644.35,0.37,1.95
645.35,0.39,5.06
646.37,1.14,9.55
647.38,0,4.66
648.38,0.77,5.06
649.38,0,2.35
650.38,0.4,0.4
651.38,0,0.77
652.41,0.74,25.31
653.41,0,7.02
654.41,0.77,34.77
655.41,0,55.07
656.41,0.77,25
657.41,0,15.62
658.42,0.79,7.37
659.42,0,18.75
660.44,1.13,7.31
661.44,0,5.07
662.45,0.79,6.2
663.45,0,30.07
664.45,0.37,7.8
665.45,0,62.9
666.45,1.17,99.6
667.45,0,54.3
668.45,0.77,57.05
669.45,0.4,17.17
670.47,0.76,41.18
671.47,0,4.3
672.47,0.8,15.22
673.47,0,13.27
674.47,0.37,6.25
675.47,0,11.35
676.47,0.39,18.73
677.47,0,15.62
678.47,0.77,17.15
679.47,0,4.7
680.48,0.39,1.94
681.48,0.77,1.94
682.49,0.39,5.43
683.49,0,3.5
684.5,0.76,4.64
685.5,0,8.57
686.5,0.37,7.8
687.5,0,25.4
688.53,1.14,6.48
689.53,0,29.7
690.53,0.8,53.9
691.53,0,16.02
692.53,0.76,12.01
693.53,0,5.07
694.54,1.16,19.78
695.54,0,30.04
696.54,0.37,13.27
697.55,0,4.7
