"Name","Instance Count","Size (bytes)"
"java.util.regex.Pattern$GroupCurly",2,96
"java.util.regex.Pattern$Slice",2,48
"jdk.internal.jimage.ImageLocation",2,48
"jdk.internal.loader.BuiltinClassLoader$5",2,48
"jdk.internal.org.objectweb.asm.Edge",2,48
"jdk.internal.org.objectweb.asm.FieldWriter",2,128
"jdk.internal.org.objectweb.asm.SymbolTable",2,128
"jdk.internal.reflect.NativeMethodAccessorImpl",2,48
"org.sqlite.SQLiteConfig",2,64
"org.sqlite.SQLiteConnectionConfig",2,80
"org.sqlite.date.FastDateParser$NumberStrategy",2,32
"org.sqlite.jdbc4.JDBC4ResultSet",2,112
"sun.net.www.protocol.jar.URLJarFile$URLJarFileEntry",2,192
"sun.nio.fs.WindowsPath",2,80
"com.jprofiler.agent.NativeAgentMethods$1",1,16
"java.lang.Character[ ]",1,528
"java.lang.Float",1,16
"java.lang.PublicMethods$Key",1,24
"java.lang.ThreadLocal$ThreadLocalMap$Entry",1,32
"java.lang.WeakPairMap$$Lambda$2.943010986",1,16
"java.lang.annotation.RetentionPolicy",1,24
"java.lang.invoke.BoundMethodHandle$Species_L",1,32
"java.lang.invoke.DirectMethodHandle",1,32
"java.lang.invoke.InvokerBytecodeGenerator",1,64
"java.lang.invoke.LambdaFormEditor$Transform",1,56
"java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle",1,40
"java.lang.ref.ReferenceQueue",1,32
"java.lang.reflect.Constructor",1,80
"java.lang.reflect.Proxy$$Lambda$70.1983025922",1,16
"java.lang.reflect.Proxy$$Lambda$71.1268959798",1,16
"java.lang.reflect.ProxyGenerator",1,160
"java.lang.reflect.ProxyGenerator$PrimitiveTypeInfo",1,32
"java.nio.file.LinkOption[ ]",1,16
"java.nio.file.attribute.FileTime",1,32
"java.security.ProtectionDomain",1,40
"java.sql.SQLPermission",1,24
"java.text.DecimalFormat",1,144
"java.util.Arrays$ArrayList",1,24
"java.util.Collections$SetFromMap",1,24
"java.util.HashMap$EntryIterator",1,40
"java.util.HashMap$ValueIterator",1,40
"java.util.ImmutableCollections$Set12",1,24
"java.util.LinkedHashMap$LinkedValueIterator",1,32
"java.util.Locale[ ]",1,3056
"java.util.Properties$EntrySet",1,16
"java.util.ResourceBundle$ResourceBundleProviderHelper$$Lambda$48.222624801",1,16
"java.util.Scanner",1,144
"java.util.ServiceLoader$2",1,24
"java.util.ServiceLoader$ModuleServicesLookupIterator",1,32
"java.util.WeakHashMap",1,48
"java.util.WeakHashMap$Entry[ ]",1,80
"java.util.concurrent.ConcurrentHashMap$EntryIterator",1,56
"java.util.concurrent.ConcurrentHashMap$ForwardingNode",1,32
"java.util.concurrent.ConcurrentHashMap$ReservationNode",1,32
"java.util.concurrent.atomic.AtomicBoolean",1,16
"java.util.concurrent.atomic.AtomicLong",1,24
"java.util.regex.CharPredicates$$Lambda$67.1640639994",1,16
"java.util.regex.Pattern$CharPropertyGreedy",1,24
"java.util.regex.Pattern$SliceI",1,24
"java.util.zip.Inflater",1,64
"java.util.zip.ZipFile$CleanableResource",1,32
"java.util.zip.ZipFile$Source$End",1,40
"java.util.zip.ZipFile$Source$Key",1,24
"jdk.internal.loader.BuiltinClassLoader$1",1,32
"jdk.internal.loader.URLClassPath$JarLoader$1",1,16
"jdk.internal.math.FDBigInteger[ ]",1,1376
"jdk.internal.math.FormattedFloatingDecimal",1,24
"jdk.internal.math.FormattedFloatingDecimal$Form",1,24
"jdk.internal.org.objectweb.asm.ClassWriter",1,136
"jdk.internal.reflect.DelegatingConstructorAccessorImpl",1,16
"jdk.internal.reflect.NativeConstructorAccessorImpl",1,24
"org.sqlite.SQLiteConfig$DateClass[ ]",1,32
"org.sqlite.SQLiteConfig$DatePrecision",1,24
"org.sqlite.SQLiteConfig$DatePrecision[ ]",1,24
"org.sqlite.SQLiteConfig$Encoding",1,24
"org.sqlite.SQLiteConfig$HexKeyMode",1,24
"org.sqlite.SQLiteConfig$JournalMode[ ]",1,40
"org.sqlite.SQLiteConfig$LockingMode[ ]",1,24
"org.sqlite.SQLiteConfig$TransactionMode",1,24
"org.sqlite.SQLiteLimits",1,24
"org.sqlite.SQLiteOpenMode",1,24
"org.sqlite.SQLiteOpenMode[ ]",1,88
"org.sqlite.date.FastDateFormat$1",1,16
"org.sqlite.date.FastDateParser$CopyQuotedStrategy",1,16
"org.sqlite.date.FastDatePrinter$TwoDigitNumberField",1,16
"org.sqlite.jdbc4.JDBC4Connection",1,32
"org.sqlite.jdbc4.JDBC4Statement",1,48
"sun.net.www.protocol.file.FileURLConnection",1,104
"sun.net.www.protocol.jar.JarURLConnection",1,88
"sun.net.www.protocol.jar.URLJarFile",1,80
"sun.nio.fs.WindowsFileAttributeViews$Basic",1,24
"sun.nio.fs.WindowsFileAttributes",1,64
"sun.reflect.generics.tree.SimpleClassTypeSignature",1,24
"sun.reflect.generics.tree.TypeArgument[ ]",1,16
"sun.util.calendar.ZoneInfoFile$Checksum",1,16
"sun.util.locale.provider.LocaleServiceProviderPool",1,24
"sun.util.resources.Bundles$CacheKey",1,32
