"Name","Instance Count","Size (bytes)"
"java.lang.invoke.InnerClassLambdaMetafactory$ForwardingMethodGenerator",75,1800
"java.util.ImmutableCollections$List12",75,1800
"jdk.internal.loader.URLClassPath$JarLoader$2",75,2400
"java.util.concurrent.ConcurrentHashMap$ValueIterator",74,4144
"java.util.Hashtable$Entry[ ]",73,5856
"java.util.concurrent.CopyOnWriteArrayList",73,1752
"java.lang.Module",71,3976
"java.lang.invoke.LambdaFormEditor",71,1136
"java.util.Hashtable",69,3312
"java.util.regex.Pattern$Ques",68,1632
"java.util.concurrent.ConcurrentHashMap$ReservationNode",67,2144
"java.lang.invoke.LambdaForm$Kind",66,2112
"jdk.internal.reflect.DelegatingConstructorAccessorImpl",66,1056
"jdk.internal.reflect.NativeConstructorAccessorImpl",66,1584
"com.jprofiler.api.agent.probe.InterceptionMethod[ ]",65,8480
"java.lang.module.ModuleDescriptor",63,4032
"java.lang.module.ResolvedModule[ ]",63,1984
"java.net.URI",63,5040
"java.lang.module.ModuleDescriptor$Exports[ ]",62,2568
"java.lang.module.ModuleDescriptor$Opens[ ]",62,1016
"java.lang.module.ModuleDescriptor$Provides[ ]",62,1352
"java.lang.module.ModuleDescriptor$Requires[ ]",62,1680
"java.lang.module.ResolvedModule",62,1488
"jdk.internal.loader.BuiltinClassLoader$5",62,1488
"jdk.internal.loader.BuiltinClassLoader$LoadedModule",62,1984
"jdk.internal.module.Builder",62,3472
"jdk.internal.module.ModuleBootstrap$2",62,1488
"jdk.internal.module.ModuleReferenceImpl",62,3472
"jdk.internal.module.SystemModuleFinders$2",62,1488
"jdk.internal.module.SystemModuleFinders$SystemModuleReader",62,1488
"java.lang.WeakPairMap$Pair$Lookup",61,1464
"com.jprofiler.agent.triggers.nanoxml.XMLElement",60,2880
"jdk.internal.module.SystemModuleFinders$3",60,960
"java.lang.invoke.BoundMethodHandle$Species_L",59,1888
"java.lang.module.ModuleDescriptor$Provides",59,1416
"java.util.Formatter$Flags[ ]",59,2280
"java.util.Hashtable$Enumerator",59,2832
"java.net.NetworkInterface[ ]",55,1096
"java.util.regex.Pattern$TreeInfo",55,1320
"java.net.InetAddress[ ]",54,912
"java.net.InterfaceAddress[ ]",54,912
"java.net.NetworkInterface",54,2592
"java.util.TreeMap$Entry",53,2120
"java.lang.invoke.MethodHandle[ ]",51,3728
"org.sqlite.SQLiteConfig$Pragma",51,1632
"java.util.concurrent.ConcurrentHashMap$MapEntry",50,1200
"java.text.DecimalFormatSymbols",49,3920
"java.util.stream.ReferencePipeline$Head",49,2744
"java.util.HashMap$EntrySet",48,768
"java.util.HashMap$KeyIterator",48,1920
"java.util.concurrent.atomic.AtomicIntegerArray",48,768
"jdk.internal.org.objectweb.asm.FieldWriter",48,3072
"short[ ]",48,3656
"java.lang.invoke.SimpleMethodHandle",47,1504
"java.lang.StringBuffer",45,1440
"java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle",45,1800
"java.lang.reflect.Method[ ]",45,2568
"java.security.Provider$UString",45,1080
"java.lang.invoke.InnerClassLambdaMetafactory$1",44,1056
"java.lang.reflect.Field[ ]",44,1408
"java.util.regex.Matcher",44,3168
"jdk.internal.org.objectweb.asm.Edge",44,1056
"java.io.ObjectStreamField",42,1680
